spec,url,violations,critical,serious,moderate,minor,csv,html
"","https://accessmatch.ddev.site/",5,2,0,2,1,"spec__https___accessmatch_ddev_site_.csv","spec__https___accessmatch_ddev_site_.html"
"","https://accessmatch.ddev.site/announcements",1,0,0,1,0,"spec__https___accessmatch_ddev_site_announcements.csv","spec__https___accessmatch_ddev_site_announcements.html"
"","https://accessmatch.ddev.site/announcements/tacc-status-saturday-september-27-2025",1,0,0,1,0,"spec__https___accessmatch_ddev_site_announcements_tacc_status_saturday_september_27_2025.csv","spec__https___accessmatch_ddev_site_announcements_tacc_status_saturday_september_27_2025.html"
"","https://accessmatch.ddev.site/events",2,0,1,1,0,"spec__https___accessmatch_ddev_site_events.csv","spec__https___accessmatch_ddev_site_events.html"
"","https://accessmatch.ddev.site/events/8482",1,0,0,1,0,"spec__https___accessmatch_ddev_site_events_8482.csv","spec__https___accessmatch_ddev_site_events_8482.html"
"","https://accessmatch.ddev.site/outages",1,0,0,1,0,"spec__https___accessmatch_ddev_site_outages.csv","spec__https___accessmatch_ddev_site_outages.html"
"","https://accessmatch.ddev.site/community/overview",2,1,0,1,0,"spec__https___accessmatch_ddev_site_community_overview.csv","spec__https___accessmatch_ddev_site_community_overview.html"
"","https://accessmatch.ddev.site/affinity-groups",2,0,0,2,0,"spec__https___accessmatch_ddev_site_affinity_groups.csv","spec__https___accessmatch_ddev_site_affinity_groups.html"
"","https://accessmatch.ddev.site/affinity-groups/anvil",3,0,1,2,0,"spec__https___accessmatch_ddev_site_affinity_groups_anvil.csv","spec__https___accessmatch_ddev_site_affinity_groups_anvil.html"
"","https://accessmatch.ddev.site/community/cssn",4,1,0,3,0,"spec__https___accessmatch_ddev_site_community_cssn.csv","spec__https___accessmatch_ddev_site_community_cssn.html"
"","https://accessmatch.ddev.site/community/cssn/directory",1,0,0,1,0,"spec__https___accessmatch_ddev_site_community_cssn_directory.csv","spec__https___accessmatch_ddev_site_community_cssn_directory.html"
"","https://accessmatch.ddev.site/community-persona/100",2,0,0,2,0,"spec__https___accessmatch_ddev_site_community_persona_100.csv","spec__https___accessmatch_ddev_site_community_persona_100.html"
"","https://accessmatch.ddev.site/community/badges",1,0,0,1,0,"spec__https___accessmatch_ddev_site_community_badges.csv","spec__https___accessmatch_ddev_site_community_badges.html"
"","https://accessmatch.ddev.site/community/scipe",1,0,0,1,0,"spec__https___accessmatch_ddev_site_community_scipe.csv","spec__https___accessmatch_ddev_site_community_scipe.html"
"","https://accessmatch.ddev.site/ccep-workforce-development-funded-workshops",3,1,0,2,0,"spec__https___accessmatch_ddev_site_ccep_workforce_development_funded_workshops.csv","spec__https___accessmatch_ddev_site_ccep_workforce_development_funded_workshops.html"
"","https://accessmatch.ddev.site/knowledge-base/overview",3,1,0,2,0,"spec__https___accessmatch_ddev_site_knowledge_base_overview.csv","spec__https___accessmatch_ddev_site_knowledge_base_overview.html"
"","https://accessmatch.ddev.site/knowledge-base/resources",1,0,0,1,0,"spec__https___accessmatch_ddev_site_knowledge_base_resources.csv","spec__https___accessmatch_ddev_site_knowledge_base_resources.html"
"","https://accessmatch.ddev.site/find",3,1,0,1,1,"spec__https___accessmatch_ddev_site_find.csv","spec__https___accessmatch_ddev_site_find.html"
