impact,id,description,help,helpUrl,tags,html,target,failureSummary
serious,color-contrast,"Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=axeAPI","cat.color;wcag2aa;wcag143;TTv5;TT13.c;EN-301-549;EN-9.1.4.3;ACT","<a href=\"#\" class=\"facets-soft-limit-link\">Show more</a>","#block-nect-userskillsmembers > .mb-2.mb-lg-4.facets-widget-checkbox > .facets-soft-limit-link[href=\"#\"]","Fix any of the following:\n  Element has insufficient color contrast of 2.68 (foreground color: #06a9e5, background color: #ffffff, font size: 13.5pt (18px), font weight: normal). Expected contrast ratio of 4.5:1"
serious,color-contrast,"Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=axeAPI","cat.color;wcag2aa;wcag143;TTv5;TT13.c;EN-301-549;EN-9.1.4.3;ACT","<a href=\"https://new.nsf.gov/funding/opportunities/research-coordination-networks-fostering-nurturing/nsf22-558/solicitation\">RCN:CIP solicitation</a>",".text-left:nth-child(1) > a","Fix any of the following:\n  Element has insufficient color contrast of 4.38 (foreground color: #06a9e5, background color: #04376f, font size: 9.8pt (13px), font weight: normal). Expected contrast ratio of 4.5:1"
serious,color-contrast,"Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=axeAPI","cat.color;wcag2aa;wcag143;TTv5;TT13.c;EN-301-549;EN-9.1.4.3;ACT","<a href=\"https://dl.acm.org/doi/pdf/10.1145/3507694\">Transforming Science through Cyberinfrastructure</a>",".text-left:nth-child(3) > a","Fix any of the following:\n  Element has insufficient color contrast of 4.38 (foreground color: #06a9e5, background color: #04376f, font size: 9.8pt (13px), font weight: normal). Expected contrast ratio of 4.5:1"
moderate,heading-order,"Ensure the order of headings is semantically correct","Heading levels should only increase by one","https://dequeuniversity.com/rules/axe/4.10/heading-order?application=axeAPI","cat.semantics;best-practice","<h4 id=\"pagination-heading\" class=\"visually-hidden\">Pagination</h4>","#pagination-heading","Fix any of the following:\n  Heading order invalid"
critical,image-alt,"Ensure <img> elements have alternative text or a role of none or presentation","Images must have alternative text","https://dequeuniversity.com/rules/axe/4.10/image-alt?application=axeAPI","cat.text-alternatives;wcag2a;wcag111;section508;section508.22.a;TTv5;TT7.a;TT7.b;EN-301-549;EN-9.1.1.1;ACT","<img width=\"82\" height=\"82\" src=\"/themes/contrib/asp-theme/images/logos/NSF_logo.svg\">",".container > div:nth-child(1) > .nsf-logo[href$=\"nsf.gov/\"][rel=\"noopener\"] > img[width=\"82\"][height=\"82\"]","Fix any of the following:\n  Element does not have an alt attribute\n  aria-label attribute does not exist or is empty\n  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty\n  Element has no title attribute\n  Element's default semantics were not overridden with role=\"none\" or role=\"presentation\""
critical,image-alt,"Ensure <img> elements have alternative text or a role of none or presentation","Images must have alternative text","https://dequeuniversity.com/rules/axe/4.10/image-alt?application=axeAPI","cat.text-alternatives;wcag2a;wcag111;section508;section508.22.a;TTv5;TT7.a;TT7.b;EN-301-549;EN-9.1.1.1;ACT","<img loading=\"lazy\" src=\"/sites/default/files/styles/medium/public/pictures/social_auth_google_110097167710118248061.jpg?itok=U9dEMp2D\" width=\"96\" height=\"96\" class=\"img-fluid\">",".col-11.col-sm-6.col-md-4:nth-child(1) > .nect-cc-people.card.h-100 > .p-2 > .cssn-directory-item > .cssn-photo > img[width=\"96\"][height=\"96\"][loading=\"lazy\"]","Fix any of the following:\n  Element does not have an alt attribute\n  aria-label attribute does not exist or is empty\n  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty\n  Element has no title attribute\n  Element's default semantics were not overridden with role=\"none\" or role=\"presentation\""
critical,image-alt,"Ensure <img> elements have alternative text or a role of none or presentation","Images must have alternative text","https://dequeuniversity.com/rules/axe/4.10/image-alt?application=axeAPI","cat.text-alternatives;wcag2a;wcag111;section508;section508.22.a;TTv5;TT7.a;TT7.b;EN-301-549;EN-9.1.1.1;ACT","<img width=\"82\" height=\"82\" src=\"/themes/nect-theme/img/NSF_logo.svg\">",".col-2 > .nsf-logo[href$=\"nsf.gov/\"][rel=\"noopener\"] > img[width=\"82\"][height=\"82\"]","Fix any of the following:\n  Element does not have an alt attribute\n  aria-label attribute does not exist or is empty\n  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty\n  Element has no title attribute\n  Element's default semantics were not overridden with role=\"none\" or role=\"presentation\""
moderate,landmark-one-main,"Ensure the document has a main landmark","Document should have one main landmark","https://dequeuniversity.com/rules/axe/4.10/landmark-one-main?application=axeAPI","cat.semantics;best-practice","<html lang=\"en\" dir=\"ltr\" class=\" js\">","html","Fix all of the following:\n  Document does not have a main landmark"
moderate,landmark-unique,"Ensure landmarks are unique","Landmarks should have a unique role or role/label/title (i.e. accessible name) combination","https://dequeuniversity.com/rules/axe/4.10/landmark-unique?application=axeAPI","cat.semantics;best-practice","<nav class=\"navbar navbar-expand secondary-nav navbar-light bg-light \" id=\"secondaryNav\">","#secondaryNav","Fix any of the following:\n  The landmark must have a unique aria-label, aria-labelledby, or title to make landmarks distinguishable"
serious,link-in-text-block,"Ensure links are distinguished from surrounding text in a way that does not rely on color","Links must be distinguishable without relying on color","https://dequeuniversity.com/rules/axe/4.10/link-in-text-block?application=axeAPI","cat.color;wcag2a;wcag141;TTv5;TT13.a;EN-301-549;EN-9.1.4.1","<a href=\"https://new.nsf.gov/funding/opportunities/research-coordination-networks-fostering-nurturing/nsf22-558/solicitation\">RCN:CIP solicitation</a>",".text-left:nth-child(1) > a","Fix any of the following:\n  The link has insufficient color contrast of 2.68:1 with the surrounding text. (Minimum contrast is 3:1, link text: #06a9e5, surrounding text: #ffffff)\n  The link has no styling (such as underline) to distinguish it from the surrounding text"
serious,link-in-text-block,"Ensure links are distinguished from surrounding text in a way that does not rely on color","Links must be distinguishable without relying on color","https://dequeuniversity.com/rules/axe/4.10/link-in-text-block?application=axeAPI","cat.color;wcag2a;wcag141;TTv5;TT13.a;EN-301-549;EN-9.1.4.1","<a href=\"https://dl.acm.org/doi/pdf/10.1145/3507694\">Transforming Science through Cyberinfrastructure</a>",".text-left:nth-child(3) > a","Fix any of the following:\n  The link has insufficient color contrast of 2.68:1 with the surrounding text. (Minimum contrast is 3:1, link text: #06a9e5, surrounding text: #ffffff)\n  The link has no styling (such as underline) to distinguish it from the surrounding text"
serious,link-name,"Ensure links have discernible text","Links must have discernible text","https://dequeuniversity.com/rules/axe/4.10/link-name?application=axeAPI","cat.name-role-value;wcag2a;wcag244;wcag412;section508;section508.22.a;TTv5;TT6.a;EN-301-549;EN-9.2.4.4;EN-9.4.1.2;ACT","<a class=\"nsf-logo\" href=\"https://www.nsf.gov/\" target=\"_blank\" rel=\"noopener\">\n            <img width=\"82\" height=\"82\" src=\"/themes/contrib/asp-theme/images/logos/NSF_logo.svg\">\n          </a>",".container > div:nth-child(1) > .nsf-logo[href$=\"nsf.gov/\"][rel=\"noopener\"]","Fix all of the following:\n  Element is in tab order and does not have accessible text\n\nFix any of the following:\n  Element does not have text that is visible to screen readers\n  aria-label attribute does not exist or is empty\n  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty\n  Element has no title attribute"
serious,link-name,"Ensure links have discernible text","Links must have discernible text","https://dequeuniversity.com/rules/axe/4.10/link-name?application=axeAPI","cat.name-role-value;wcag2a;wcag244;wcag412;section508;section508.22.a;TTv5;TT6.a;EN-301-549;EN-9.2.4.4;EN-9.4.1.2;ACT","<a class=\"stretched-link text-dark-teal hover--text-orange no-underline text-xl font-bold text-purple hover--ccmnet-blue\" href=\"/community-persona/46601\"> </a>","a[href=\"/community-persona/46601\"]","Fix all of the following:\n  Element is in tab order and does not have accessible text\n\nFix any of the following:\n  Element does not have text that is visible to screen readers\n  aria-label attribute does not exist or is empty\n  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty\n  Element has no title attribute"
serious,link-name,"Ensure links have discernible text","Links must have discernible text","https://dequeuniversity.com/rules/axe/4.10/link-name?application=axeAPI","cat.name-role-value;wcag2a;wcag244;wcag412;section508;section508.22.a;TTv5;TT6.a;EN-301-549;EN-9.2.4.4;EN-9.4.1.2;ACT","<a class=\"nsf-logo\" href=\"https://www.nsf.gov/\" target=\"_blank\" rel=\"noopener\">\n              <img width=\"82\" height=\"82\" src=\"/themes/nect-theme/img/NSF_logo.svg\">\n            </a>",".col-2 > .nsf-logo[href$=\"nsf.gov/\"][rel=\"noopener\"]","Fix all of the following:\n  Element is in tab order and does not have accessible text\n\nFix any of the following:\n  Element does not have text that is visible to screen readers\n  aria-label attribute does not exist or is empty\n  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty\n  Element has no title attribute"
serious,list,"Ensure that lists are structured correctly","<ul> and <ol> must only directly contain <li>, <script> or <template> elements","https://dequeuniversity.com/rules/axe/4.10/list?application=axeAPI","cat.structure;wcag2a;wcag131;EN-301-549;EN-9.1.3.1","<ul class=\"pager__items js-pager__items\">",".pager__items","Fix all of the following:\n  List element has direct children that are not allowed: [role=presentation]"
moderate,region,"Ensure all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI","cat.keyboard;best-practice","<div id=\"ccmnet-page-title\">","#ccmnet-page-title","Fix any of the following:\n  Some page content is not contained by landmarks"
moderate,region,"Ensure all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI","cat.keyboard;best-practice","<div class=\"col-11 col-sm-6 col-md-4 mb-4 mx-auto border-4 border-solid border-dark-teal hover--border-orange w-full relative\">",".col-11.col-sm-6.col-md-4:nth-child(1)","Fix any of the following:\n  Some page content is not contained by landmarks"
moderate,region,"Ensure all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI","cat.keyboard;best-practice","<div class=\"cssn-photo\">\n          \n\n\n\n\n  \n\n\n\n\n\n\n\n\n\n<img loading=\"lazy\" src=\"/sites/default/files/styles/medium/public/pictures/FA.jpeg?itok=t9bRli24\" width=\"220\" height=\"220\" alt=\"Feseha Abebe-Akele\" class=\"img-fluid\">\n\n\n\n\n\n\n\n\n\n\n\n\n        </div>",".col-11.col-sm-6.col-md-4:nth-child(2) > .nect-cc-people.card.h-100 > .p-2 > .cssn-directory-item > .cssn-photo","Fix any of the following:\n  Some page content is not contained by landmarks"
moderate,region,"Ensure all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI","cat.keyboard;best-practice","<div class=\"my-1.5 leading-5\">\n          <a class=\"stretched-link text-dark-teal hover--text-orange no-underline text-xl font-bold text-purple hover--ccmnet-blue\" href=\"/community-persona/4085\">Lux Rivers</a>\n        </div>",".col-11.col-sm-6.col-md-4:nth-child(2) > .nect-cc-people.card.h-100 > .p-2 > .cssn-directory-item > .my-1\\.5.leading-5","Fix any of the following:\n  Some page content is not contained by landmarks"
moderate,region,"Ensure all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI","cat.keyboard;best-practice","<div class=\"m-0 font-semibold leading-5 text-lg\">\n          Elizabeth City State University        </div>",".col-11.col-sm-6.col-md-4:nth-child(2) > .nect-cc-people.card.h-100 > .p-2 > .cssn-directory-item > .m-0.font-semibold.text-lg","Fix any of the following:\n  Some page content is not contained by landmarks"
moderate,region,"Ensure all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI","cat.keyboard;best-practice","<div class=\"mb-1 text-sm\">\n          <i>Appellatio iustum utinam. Facilisi feugiat iusto iustum plaga praemitto. Abbas huic ibidem pala plaga secundum sudo tego. Abigo eligo iriure modo vero ymo.</i>\n        </div>",".col-11.col-sm-6.col-md-4:nth-child(2) > .nect-cc-people.card.h-100 > .p-2 > .cssn-directory-item > .text-sm","Fix any of the following:\n  Some page content is not contained by landmarks"
moderate,region,"Ensure all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI","cat.keyboard;best-practice","<li><a href=\"/tags/password\" class=\"text-truncate text-xs no-underline font-normal mb-1 me-1 mr-1 px-2 py-1 hover--border-dark-teal border hover--text-dark-teal\">password</a></li>",".col-11.col-sm-6.col-md-4:nth-child(2) > .nect-cc-people.card.h-100 > .p-2 > .cssn-directory-item > .square-tags.ontop-links.\\[\\&_ul\\]--list-none > ul > li:nth-child(1)","Fix any of the following:\n  Some page content is not contained by landmarks"
moderate,region,"Ensure all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI","cat.keyboard;best-practice","<li><a href=\"/tags/account\" class=\"text-truncate text-xs no-underline font-normal mb-1 me-1 mr-1 px-2 py-1 hover--border-dark-teal border hover--text-dark-teal\">account</a></li>",".col-11.col-sm-6.col-md-4:nth-child(2) > .nect-cc-people.card.h-100 > .p-2 > .cssn-directory-item > .square-tags.ontop-links.\\[\\&_ul\\]--list-none > ul > li:nth-child(2)","Fix any of the following:\n  Some page content is not contained by landmarks"
