impact,id,description,help,helpUrl,tags,html,target,failureSummary
moderate,landmark-one-main,"Ensure the document has a main landmark","Document should have one main landmark","https://dequeuniversity.com/rules/axe/4.10/landmark-one-main?application=axeAPI","cat.semantics;best-practice","<html lang=\"en\" dir=\"ltr\" class=\" js\">","html","Fix all of the following:\n  Document does not have a main landmark"
moderate,region,"Ensure all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI","cat.keyboard;best-practice","<div id=\"block-nect-page-title\">","#block-nect-page-title","Fix any of the following:\n  Some page content is not contained by landmarks"
moderate,region,"Ensure all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI","cat.keyboard;best-practice","<div class=\"field--type-entity-reference field--name-field-region field--widget-options-select js-form-wrapper form-wrapper\" data-drupal-selector=\"edit-field-region-wrapper\" id=\"edit-field-region-wrapper\">","#edit-field-region-wrapper","Fix any of the following:\n  Some page content is not contained by landmarks"
moderate,region,"Ensure all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI","cat.keyboard;best-practice","<div data-drupal-selector=\"edit-account\" id=\"edit-account\" class=\"js-form-wrapper form-wrapper\">","#edit-account","Fix any of the following:\n  Some page content is not contained by landmarks"
moderate,region,"Ensure all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI","cat.keyboard;best-practice","<div class=\"field--type-string field--name-field-user-first-name field--widget-string-textfield js-form-wrapper form-wrapper\" data-drupal-selector=\"edit-field-user-first-name-wrapper\" id=\"edit-field-user-first-name-wrapper\">","#edit-field-user-first-name-wrapper","Fix any of the following:\n  Some page content is not contained by landmarks"
moderate,region,"Ensure all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI","cat.keyboard;best-practice","<div class=\"field--type-string field--name-field-user-last-name field--widget-string-textfield js-form-wrapper form-wrapper\" data-drupal-selector=\"edit-field-user-last-name-wrapper\" id=\"edit-field-user-last-name-wrapper\">","#edit-field-user-last-name-wrapper","Fix any of the following:\n  Some page content is not contained by landmarks"
moderate,region,"Ensure all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI","cat.keyboard;best-practice","<div class=\"field--type-entity-reference field--name-field-access-organization field--widget-entity-reference-autocomplete js-form-wrapper form-wrapper\" data-drupal-selector=\"edit-field-access-organization-wrapper\" id=\"edit-field-access-organization-wrapper\">","#edit-field-access-organization-wrapper","Fix any of the following:\n  Some page content is not contained by landmarks"
moderate,region,"Ensure all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI","cat.keyboard;best-practice","<div class=\"field--type-string field--name-field-askci-username field--widget-string-textfield js-form-wrapper form-wrapper\" data-drupal-selector=\"edit-field-askci-username-wrapper\" id=\"edit-field-askci-username-wrapper\">","#edit-field-askci-username-wrapper","Fix any of the following:\n  Some page content is not contained by landmarks"
moderate,region,"Ensure all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI","cat.keyboard;best-practice","<div class=\"field--type-string field--name-field-discourse-openondemand-org field--widget-string-textfield js-form-wrapper form-wrapper\" data-drupal-selector=\"edit-field-discourse-openondemand-org-wrapper\" id=\"edit-field-discourse-openondemand-org-wrapper\">","#edit-field-discourse-openondemand-org-wrapper","Fix any of the following:\n  Some page content is not contained by landmarks"
moderate,region,"Ensure all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI","cat.keyboard;best-practice","<div class=\"field--type-string field--name-field-github-username field--widget-string-textfield js-form-wrapper form-wrapper\" data-drupal-selector=\"edit-field-github-username-wrapper\" id=\"edit-field-github-username-wrapper\">","#edit-field-github-username-wrapper","Fix any of the following:\n  Some page content is not contained by landmarks"
moderate,region,"Ensure all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI","cat.keyboard;best-practice","<div class=\"field--type-list-string field--name-field-academic-status field--widget-options-select js-form-wrapper form-wrapper\" data-drupal-selector=\"edit-field-academic-status-wrapper\" id=\"edit-field-academic-status-wrapper\">","#edit-field-academic-status-wrapper","Fix any of the following:\n  Some page content is not contained by landmarks"
moderate,region,"Ensure all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI","cat.keyboard;best-practice","<div class=\"field--type-string-long field--name-field-hpc-experience field--widget-string-textarea js-form-wrapper form-wrapper\" data-drupal-selector=\"edit-field-hpc-experience-wrapper\" id=\"edit-field-hpc-experience-wrapper\">","#edit-field-hpc-experience-wrapper","Fix any of the following:\n  Some page content is not contained by landmarks"
moderate,region,"Ensure all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI","cat.keyboard;best-practice","<label for=\"edit-field-cv-resume-0-upload\" id=\"edit-field-cv-resume-0--label\">CV/Resume</label>","#edit-field-cv-resume-0--label","Fix any of the following:\n  Some page content is not contained by landmarks"
moderate,region,"Ensure all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI","cat.keyboard;best-practice","<input aria-describedby=\"edit-field-cv-resume-0--description\" data-drupal-selector=\"edit-field-cv-resume-0-upload\" type=\"file\" id=\"edit-field-cv-resume-0-upload\" name=\"files[field_cv_resume_0]\" size=\"22\" class=\"js-form-file form-file\" data-once=\"fileValidate auto-file-upload\">","#edit-field-cv-resume-0-upload","Fix any of the following:\n  Some page content is not contained by landmarks"
moderate,region,"Ensure all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI","cat.keyboard;best-practice","<small id=\"edit-field-cv-resume-0--description\" class=\"form-text text-muted\">","#edit-field-cv-resume-0--description","Fix any of the following:\n  Some page content is not contained by landmarks"
moderate,region,"Ensure all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI","cat.keyboard;best-practice","<div class=\"js-form-item form-item js-form-type-select form-item-timezone js-form-item-timezone form-group\">",".form-item-timezone","Fix any of the following:\n  Some page content is not contained by landmarks"
