impact,id,description,help,helpUrl,tags,html,target,failureSummary
serious,color-contrast,"Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=axeAPI","cat.color;wcag2aa;wcag143;TTv5;TT13.c;EN-301-549;EN-9.1.4.3;ACT","<a href=\"/user\" class=\"btn btn-secondary disabled my-2 ms-0 me-4  mr-4  ml-0\" disabled=\"\">Join</a>",".btn-secondary","Fix any of the following:\n  Element has insufficient color contrast of 2.48 (foreground color: #ffffff, background color: #9fa5ab, font size: 10.5pt (14px), font weight: normal). Expected contrast ratio of 4.5:1"
serious,color-contrast,"Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=axeAPI","cat.color;wcag2aa;wcag143;TTv5;TT13.c;EN-301-549;EN-9.1.4.3;ACT","<a href=\"https://join.slack.com/t/ccmnet/shared_invite/zt-2qqj2lk8n-4abaB8KJydNywiabWYBvrw\" target=\"_blank\" class=\"btn btn-primary my-2 ms-0 me-4 mr-4 ml-0\">Slack</a>",".ms-0.me-4.mr-4:nth-child(2)","Fix any of the following:\n  Element has insufficient color contrast of 3.96 (foreground color: #ffffff, background color: #0489ba, font size: 10.5pt (14px), font weight: normal). Expected contrast ratio of 4.5:1"
serious,color-contrast,"Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=axeAPI","cat.color;wcag2aa;wcag143;TTv5;TT13.c;EN-301-549;EN-9.1.4.3;ACT","<a href=\"https://ask.ci\" target=\"_blank\" class=\"btn btn-primary my-2 ms-0 me-4 mr-4 ml-0\">Q&amp;A</a>","a[href$=\"ask.ci\"]","Fix any of the following:\n  Element has insufficient color contrast of 3.96 (foreground color: #ffffff, background color: #0489ba, font size: 10.5pt (14px), font weight: normal). Expected contrast ratio of 4.5:1"
serious,color-contrast,"Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=axeAPI","cat.color;wcag2aa;wcag143;TTv5;TT13.c;EN-301-549;EN-9.1.4.3;ACT","<a href=\"mailto:leadership@mg.ccmnet.org\" target=\"_blank\" class=\"btn btn-primary my-2 mx-0\">Email</a>",".mx-0","Fix any of the following:\n  Element has insufficient color contrast of 3.96 (foreground color: #ffffff, background color: #0489ba, font size: 10.5pt (14px), font weight: normal). Expected contrast ratio of 4.5:1"
serious,color-contrast,"Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=axeAPI","cat.color;wcag2aa;wcag143;TTv5;TT13.c;EN-301-549;EN-9.1.4.3;ACT","<a class=\"text-sm uppercase text-white-er hover--text-light-teal no-underline hover--underline\" href=\"/events/past?f[0]=affinity_group:CCMNet+Mentoring\">See past events</a>",".text-sm","Fix any of the following:\n  Element has insufficient color contrast of 3.96 (foreground color: #0489ba, background color: #ffffff, font size: 13.5pt (18px), font weight: normal). Expected contrast ratio of 4.5:1"
moderate,landmark-contentinfo-is-top-level,"Ensure the contentinfo landmark is at top level","Contentinfo landmark should not be contained in another landmark","https://dequeuniversity.com/rules/axe/4.10/landmark-contentinfo-is-top-level?application=axeAPI","cat.semantics;best-practice","<div role=\"contentinfo\" aria-label=\"Status message\">\n    \t  <div class=\"alert alert-success\">\n\t              <h2 class=\"visually-hidden\">Status message</h2>\n                    Simplelists key missing.\n          </div>\n  </div>","div[aria-label=\"Status message\"]","Fix any of the following:\n  The contentinfo landmark is contained in another landmark."
moderate,landmark-no-duplicate-contentinfo,"Ensure the document has at most one contentinfo landmark","Document should not have more than one contentinfo landmark","https://dequeuniversity.com/rules/axe/4.10/landmark-no-duplicate-contentinfo?application=axeAPI","cat.semantics;best-practice","<div role=\"contentinfo\" aria-label=\"Status message\">\n    \t  <div class=\"alert alert-success\">\n\t              <h2 class=\"visually-hidden\">Status message</h2>\n                    Simplelists key missing.\n          </div>\n  </div>","div[aria-label=\"Status message\"]","Fix any of the following:\n  Document has more than one contentinfo landmark"
serious,link-name,"Ensure links have discernible text","Links must have discernible text","https://dequeuniversity.com/rules/axe/4.10/link-name?application=axeAPI","cat.name-role-value;wcag2a;wcag244;wcag412;section508;section508.22.a;TTv5;TT6.a;EN-301-549;EN-9.2.4.4;EN-9.4.1.2;ACT","<a href=\"/community-persona/\">\n        \n      </a>","div:nth-child(1) > a[href$=\"community-persona/\"]","Fix all of the following:\n  Element is in tab order and does not have accessible text\n\nFix any of the following:\n  Element does not have text that is visible to screen readers\n  aria-label attribute does not exist or is empty\n  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty\n  Element has no title attribute"
serious,link-name,"Ensure links have discernible text","Links must have discernible text","https://dequeuniversity.com/rules/axe/4.10/link-name?application=axeAPI","cat.name-role-value;wcag2a;wcag244;wcag412;section508;section508.22.a;TTv5;TT6.a;EN-301-549;EN-9.2.4.4;EN-9.4.1.2;ACT","<a href=\"/community-persona/\">\n        \n      </a>","div:nth-child(2) > a[href$=\"community-persona/\"]","Fix all of the following:\n  Element is in tab order and does not have accessible text\n\nFix any of the following:\n  Element does not have text that is visible to screen readers\n  aria-label attribute does not exist or is empty\n  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty\n  Element has no title attribute"
serious,link-name,"Ensure links have discernible text","Links must have discernible text","https://dequeuniversity.com/rules/axe/4.10/link-name?application=axeAPI","cat.name-role-value;wcag2a;wcag244;wcag412;section508;section508.22.a;TTv5;TT6.a;EN-301-549;EN-9.2.4.4;EN-9.4.1.2;ACT","<a href=\"/community-persona/\">\n        \n      </a>","div:nth-child(3) > a[href$=\"community-persona/\"]","Fix all of the following:\n  Element is in tab order and does not have accessible text\n\nFix any of the following:\n  Element does not have text that is visible to screen readers\n  aria-label attribute does not exist or is empty\n  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty\n  Element has no title attribute"
serious,link-name,"Ensure links have discernible text","Links must have discernible text","https://dequeuniversity.com/rules/axe/4.10/link-name?application=axeAPI","cat.name-role-value;wcag2a;wcag244;wcag412;section508;section508.22.a;TTv5;TT6.a;EN-301-549;EN-9.2.4.4;EN-9.4.1.2;ACT","<a href=\"/community-persona/\">\n        \n      </a>","div:nth-child(4) > a[href$=\"community-persona/\"]","Fix all of the following:\n  Element is in tab order and does not have accessible text\n\nFix any of the following:\n  Element does not have text that is visible to screen readers\n  aria-label attribute does not exist or is empty\n  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty\n  Element has no title attribute"
