category,impact,id,description,help,helpUrl,tags,html,target,failureSummary
warning,minor,image-redundant-alt,"Ensure image alternative is not repeated as text","Alternative text of images should not be repeated as text","https://dequeuniversity.com/rules/axe/4.10/image-redundant-alt?application=axeAPI","cat.text-alternatives;best-practice","<img src=\"https://ondemand.ddev.site/sites/default/files/pictures/chalker_alan_2022_600.jpg\" alt=\"Alan Chalker\" class=\"profile-photo rounded-custom\">",".contributor-photo > .profile-photo.rounded-custom[alt=\"Alan Chalker\"]","Fix all of the following:\n  Element contains <img> element with alt text that duplicates existing text"
warning,minor,image-redundant-alt,"Ensure image alternative is not repeated as text","Alternative text of images should not be repeated as text","https://dequeuniversity.com/rules/axe/4.10/image-redundant-alt?application=axeAPI","cat.text-alternatives;best-practice","<img src=\"modules/custom/access/modules/cssn/images/profile.gif\" alt=\"Jeff Ohrstrom\" class=\"profile-photo rounded-custom\">",".contributors-block > .contributors-list.flex-wrap.list-none > .contributor-item.mr-3.mb-3:nth-child(2) > .contributor-link[href=\"/community-persona/2281\"] > .contributor-photo > .profile-photo.rounded-custom[alt=\"Jeff Ohrstrom\"]","Fix all of the following:\n  Element contains <img> element with alt text that duplicates existing text"
warning,minor,image-redundant-alt,"Ensure image alternative is not repeated as text","Alternative text of images should not be repeated as text","https://dequeuniversity.com/rules/axe/4.10/image-redundant-alt?application=axeAPI","cat.text-alternatives;best-practice","<img src=\"https://ondemand.ddev.site/sites/default/files/pictures/Moffat13csmall.jpg\" alt=\"Emily Moffat Sadeghi\" class=\"profile-photo rounded-custom\">",".contributor-photo > .profile-photo.rounded-custom[alt=\"Emily Moffat Sadeghi\"]","Fix all of the following:\n  Element contains <img> element with alt text that duplicates existing text"
warning,minor,image-redundant-alt,"Ensure image alternative is not repeated as text","Alternative text of images should not be repeated as text","https://dequeuniversity.com/rules/axe/4.10/image-redundant-alt?application=axeAPI","cat.text-alternatives;best-practice","<img src=\"https://ondemand.ddev.site/sites/default/files/pictures/social_auth_google_111157435535790279052.jpg\" alt=\"Lissie Fein\" class=\"profile-photo rounded-custom\">",".contributor-photo > .profile-photo.rounded-custom[alt=\"Lissie Fein\"]","Fix all of the following:\n  Element contains <img> element with alt text that duplicates existing text"
warning,minor,image-redundant-alt,"Ensure image alternative is not repeated as text","Alternative text of images should not be repeated as text","https://dequeuniversity.com/rules/axe/4.10/image-redundant-alt?application=axeAPI","cat.text-alternatives;best-practice","<img src=\"modules/custom/access/modules/cssn/images/profile.gif\" alt=\"Keegan Smith\" class=\"profile-photo rounded-custom\">","img[alt=\"Keegan Smith\"]","Fix all of the following:\n  Element contains <img> element with alt text that duplicates existing text"
warning,minor,image-redundant-alt,"Ensure image alternative is not repeated as text","Alternative text of images should not be repeated as text","https://dequeuniversity.com/rules/axe/4.10/image-redundant-alt?application=axeAPI","cat.text-alternatives;best-practice","<img src=\"modules/custom/access/modules/cssn/images/profile.gif\" alt=\"Miles France\" class=\"profile-photo rounded-custom\">","img[alt=\"Miles France\"]","Fix all of the following:\n  Element contains <img> element with alt text that duplicates existing text"
warning,minor,image-redundant-alt,"Ensure image alternative is not repeated as text","Alternative text of images should not be repeated as text","https://dequeuniversity.com/rules/axe/4.10/image-redundant-alt?application=axeAPI","cat.text-alternatives;best-practice","<img src=\"modules/custom/access/modules/cssn/images/profile.gif\" alt=\"William Horka\" class=\"profile-photo rounded-custom\">",".contributors-block > .contributors-list.flex-wrap.list-none > .contributor-item.mr-3.mb-3:nth-child(4) > .contributor-link[href=\"/community-persona/48134\"] > .contributor-photo > .profile-photo.rounded-custom[alt=\"William Horka\"]","Fix all of the following:\n  Element contains <img> element with alt text that duplicates existing text"
warning,minor,image-redundant-alt,"Ensure image alternative is not repeated as text","Alternative text of images should not be repeated as text","https://dequeuniversity.com/rules/axe/4.10/image-redundant-alt?application=axeAPI","cat.text-alternatives;best-practice","<img src=\"https://ondemand.ddev.site/sites/default/files/pictures/julie-ma_0.jpg\" alt=\"Julie Ma\" class=\"profile-photo rounded-custom\">",".participant-photo > .profile-photo.rounded-custom[alt=\"Julie Ma\"]","Fix all of the following:\n  Element contains <img> element with alt text that duplicates existing text"
warning,minor,image-redundant-alt,"Ensure image alternative is not repeated as text","Alternative text of images should not be repeated as text","https://dequeuniversity.com/rules/axe/4.10/image-redundant-alt?application=axeAPI","cat.text-alternatives;best-practice","<img src=\"https://ondemand.ddev.site/sites/default/files/pictures/chalker_alan_2022_600.jpg\" alt=\"Alan Chalker\" class=\"profile-photo rounded-custom\">",".participant-photo > .profile-photo.rounded-custom[alt=\"Alan Chalker\"]","Fix all of the following:\n  Element contains <img> element with alt text that duplicates existing text"
warning,minor,image-redundant-alt,"Ensure image alternative is not repeated as text","Alternative text of images should not be repeated as text","https://dequeuniversity.com/rules/axe/4.10/image-redundant-alt?application=axeAPI","cat.text-alternatives;best-practice","<img src=\"modules/custom/access/modules/cssn/images/profile.gif\" alt=\"Jeff Ohrstrom\" class=\"profile-photo rounded-custom\">",".participant-photo > .profile-photo.rounded-custom[alt=\"Jeff Ohrstrom\"]","Fix all of the following:\n  Element contains <img> element with alt text that duplicates existing text"
warning,minor,image-redundant-alt,"Ensure image alternative is not repeated as text","Alternative text of images should not be repeated as text","https://dequeuniversity.com/rules/axe/4.10/image-redundant-alt?application=axeAPI","cat.text-alternatives;best-practice","<img src=\"https://ondemand.ddev.site/sites/default/files/pictures/20230503anderson4-4K_cropped.jpg\" alt=\"Sean Anderson\" class=\"profile-photo rounded-custom\">",".participant-photo > .profile-photo.rounded-custom[alt=\"Sean Anderson\"]","Fix all of the following:\n  Element contains <img> element with alt text that duplicates existing text"
warning,minor,image-redundant-alt,"Ensure image alternative is not repeated as text","Alternative text of images should not be repeated as text","https://dequeuniversity.com/rules/axe/4.10/image-redundant-alt?application=axeAPI","cat.text-alternatives;best-practice","<img src=\"https://ondemand.ddev.site/sites/default/files/pictures/Moffat13csmall.jpg\" alt=\"Emily Moffat Sadeghi\" class=\"profile-photo rounded-custom\">",".participant-photo > .profile-photo.rounded-custom[alt=\"Emily Moffat Sadeghi\"]","Fix all of the following:\n  Element contains <img> element with alt text that duplicates existing text"
warning,minor,image-redundant-alt,"Ensure image alternative is not repeated as text","Alternative text of images should not be repeated as text","https://dequeuniversity.com/rules/axe/4.10/image-redundant-alt?application=axeAPI","cat.text-alternatives;best-practice","<img src=\"modules/custom/access/modules/cssn/images/profile.gif\" alt=\"Bradley Paynter\" class=\"profile-photo rounded-custom\">","img[alt=\"Bradley Paynter\"]","Fix all of the following:\n  Element contains <img> element with alt text that duplicates existing text"
warning,minor,image-redundant-alt,"Ensure image alternative is not repeated as text","Alternative text of images should not be repeated as text","https://dequeuniversity.com/rules/axe/4.10/image-redundant-alt?application=axeAPI","cat.text-alternatives;best-practice","<img src=\"https://ondemand.ddev.site/sites/default/files/pictures/julie-ma_0.jpg\" alt=\"Julie Ma\" class=\"profile-photo rounded-custom\">",".contributor-photo > .profile-photo.rounded-custom[alt=\"Julie Ma\"]","Fix all of the following:\n  Element contains <img> element with alt text that duplicates existing text"
warning,minor,image-redundant-alt,"Ensure image alternative is not repeated as text","Alternative text of images should not be repeated as text","https://dequeuniversity.com/rules/axe/4.10/image-redundant-alt?application=axeAPI","cat.text-alternatives;best-practice","<img src=\"modules/custom/access/modules/cssn/images/profile.gif\" alt=\"Jeff Ohrstrom\" class=\"profile-photo rounded-custom\">",".committee-members-block > .contributors-list.flex-wrap.list-none > .contributor-item.mr-3.mb-3:nth-child(2) > .contributor-link[href=\"/community-persona/2281\"] > .contributor-photo > .profile-photo.rounded-custom[alt=\"Jeff Ohrstrom\"]","Fix all of the following:\n  Element contains <img> element with alt text that duplicates existing text"
warning,minor,image-redundant-alt,"Ensure image alternative is not repeated as text","Alternative text of images should not be repeated as text","https://dequeuniversity.com/rules/axe/4.10/image-redundant-alt?application=axeAPI","cat.text-alternatives;best-practice","<img src=\"https://ondemand.ddev.site/sites/default/files/pictures/me_and_groucho.jpeg\" alt=\"Travis Ravert\" class=\"profile-photo rounded-custom\">",".contributor-photo > .profile-photo.rounded-custom[alt=\"Travis Ravert\"]","Fix all of the following:\n  Element contains <img> element with alt text that duplicates existing text"
warning,minor,image-redundant-alt,"Ensure image alternative is not repeated as text","Alternative text of images should not be repeated as text","https://dequeuniversity.com/rules/axe/4.10/image-redundant-alt?application=axeAPI","cat.text-alternatives;best-practice","<img src=\"https://ondemand.ddev.site/sites/default/files/pictures/20230503anderson4-4K_cropped.jpg\" alt=\"Sean Anderson\" class=\"profile-photo rounded-custom\">",".contributor-item.mr-3.mb-3:nth-child(4) > .contributor-link[href=\"/community-persona/3465\"] > .contributor-photo > .profile-photo.rounded-custom[alt=\"Sean Anderson\"]","Fix all of the following:\n  Element contains <img> element with alt text that duplicates existing text"
warning,minor,image-redundant-alt,"Ensure image alternative is not repeated as text","Alternative text of images should not be repeated as text","https://dequeuniversity.com/rules/axe/4.10/image-redundant-alt?application=axeAPI","cat.text-alternatives;best-practice","<img src=\"modules/custom/access/modules/cssn/images/profile.gif\" alt=\"Amanda Black\" class=\"profile-photo rounded-custom\">",".contributor-photo > .profile-photo.rounded-custom[alt=\"Amanda Black\"]","Fix all of the following:\n  Element contains <img> element with alt text that duplicates existing text"
warning,minor,image-redundant-alt,"Ensure image alternative is not repeated as text","Alternative text of images should not be repeated as text","https://dequeuniversity.com/rules/axe/4.10/image-redundant-alt?application=axeAPI","cat.text-alternatives;best-practice","<img src=\"modules/custom/access/modules/cssn/images/profile.gif\" alt=\"Brandon Biggs\" class=\"profile-photo rounded-custom\">",".contributor-item.mr-3.mb-3:nth-child(6) > .contributor-link[href=\"/community-persona/43373\"] > .contributor-photo > .profile-photo.rounded-custom[alt=\"Brandon Biggs\"]","Fix all of the following:\n  Element contains <img> element with alt text that duplicates existing text"
